charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
VMTRK2K3XPJFDXTDB6XOYY7RB25LD4UU,crawl-data/CC-MAIN-2019-04/segments/1547583826240.93/robotstxt/CC-MAIN-20190122034213-20190122060213-00583.warc.gz,95306,text/html,text/html,2783468,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,5K7GJVYSDNWDG7FMQQ5ENF7QJK3F2QJD,crawl-data/CC-MAIN-2019-04/segments/1547583826240.93/warc/CC-MAIN-20190122034213-20190122060213-00200.warc.gz,eng,92734,text/html,text/html,867916782,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,WZDA2VAI5V5T7ZLHDWNU3FPTOW5MWZT5,crawl-data/CC-MAIN-2019-04/segments/1547583829665.84/warc/CC-MAIN-20190122054634-20190122080634-00200.warc.gz,eng,92413,text/html,text/html,880034673,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,3SAVB4UF6S6R7OHKF7S6DKT5YD5DRWJG,crawl-data/CC-MAIN-2019-04/segments/1547583831770.96/warc/CC-MAIN-20190122074945-20190122100945-00200.warc.gz,eng,92249,text/html,text/html,883952788,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
TEGKLRLBRIIYMJGHYEEZVFVMR26ODQOM,crawl-data/CC-MAIN-2019-04/segments/1547583831770.96/robotstxt/CC-MAIN-20190122074945-20190122100945-00583.warc.gz,92286,text/html,text/html,3259437,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,A67N57D2YNYXLTWA6WEEIJGEOEM5YXRM,crawl-data/CC-MAIN-2019-04/segments/1547583835626.56/warc/CC-MAIN-20190122095409-20190122121409-00200.warc.gz,eng,73867,text/html,text/html,877240519,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
LZ2YSVTZCLMVEFYPSEIQDBEHD4JCIHIN,crawl-data/CC-MAIN-2019-04/segments/1547583835626.56/robotstxt/CC-MAIN-20190122095409-20190122121409-00583.warc.gz,73892,text/html,text/html,3655695,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,AG2B3UPTZES3TDMH57KW2HZRQWVQRC53,crawl-data/CC-MAIN-2019-04/segments/1547583850393.61/warc/CC-MAIN-20190122120040-20190122142040-00200.warc.gz,eng,79458,text/html,text/html,871596129,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
NZT6TGDCPGSXAHTFV6VF23GZ2RGNYLJ3,crawl-data/CC-MAIN-2019-04/segments/1547583857913.57/robotstxt/CC-MAIN-20190122140606-20190122162606-00583.warc.gz,78587,text/html,text/html,3412152,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,GTP4EGP77PZUWWJE5RVALXIFVAQUEJCE,crawl-data/CC-MAIN-2019-04/segments/1547583857913.57/warc/CC-MAIN-20190122140606-20190122162606-00200.warc.gz,eng,78585,text/html,text/html,893003385,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,2KRHXKCWEAY7HKMCPKDBAXXPYCIWOZ23,crawl-data/CC-MAIN-2019-04/segments/1547583857993.67/warc/CC-MAIN-20190122161345-20190122183345-00200.warc.gz,eng,88703,text/html,text/html,884749529,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,XEE3MWHEZATQ3EVZCN6U7ZKPQHZBWSOS,crawl-data/CC-MAIN-2019-04/segments/1547583867214.54/warc/CC-MAIN-20190122182019-20190122204019-00200.warc.gz,eng,91462,text/html,text/html,887524374,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,TLAAG7GAMQHLXGFEXNMXOJT5OP7UET3E,crawl-data/CC-MAIN-2019-04/segments/1547583874494.65/warc/CC-MAIN-20190122202547-20190122224547-00200.warc.gz,eng,85216,text/html,text/html,890168541,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,K4GDUFICZC4HJBNBQUESWY6XIEBOYRP4,crawl-data/CC-MAIN-2019-04/segments/1547583879117.74/warc/CC-MAIN-20190123003356-20190123025356-00200.warc.gz,eng,91074,text/html,text/html,891641464,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,XAJARJCLZ7G2EHIEZU62JPUH7M6M7RLO,crawl-data/CC-MAIN-2019-04/segments/1547583884996.76/warc/CC-MAIN-20190123023710-20190123045710-00200.warc.gz,eng,93010,text/html,text/html,899553097,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,PQGQPUTEJRCARGZSRIYEF6UR2NWCT47I,crawl-data/CC-MAIN-2019-04/segments/1547583897417.81/warc/CC-MAIN-20190123044447-20190123070447-00200.warc.gz,eng,90657,text/html,text/html,902123133,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
ZLC2TI7TRKLT3YM3POABTFTRG6TBGS5Z,crawl-data/CC-MAIN-2019-04/segments/1547584203540.82/robotstxt/CC-MAIN-20190123064911-20190123090911-00200.warc.gz,90848,text/html,text/html,3152561,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/",,
UTF-8,JVDSAKWTS7K3NABWEQW6TRCLYNJN3NVW,crawl-data/CC-MAIN-2019-04/segments/1547584328678.85/warc/CC-MAIN-20190123085337-20190123111337-00200.warc.gz,eng,90860,text/html,text/html,876107131,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,ZEMWOGMGT325OF4QQGN75CRLNX7UJJ26,crawl-data/CC-MAIN-2019-04/segments/1547584331733.89/warc/CC-MAIN-20190123105843-20190123131843-00200.warc.gz,eng,79490,text/html,text/html,873108685,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,Q5LGKPKS3LJ6HOMQ5XQLUKLGMW2K6AAQ,crawl-data/CC-MAIN-2019-04/segments/1547584332824.92/warc/CC-MAIN-20190123130602-20190123152602-00200.warc.gz,eng,79825,text/html,text/html,882884206,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,6LOIPCL2U6JX62HZV4HUZE3H4RWCJDZL,crawl-data/CC-MAIN-2019-04/segments/1547584334618.80/warc/CC-MAIN-20190123151455-20190123173455-00200.warc.gz,eng,81671,text/html,text/html,886917064,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,ZGGMQMTBWAGS6XYNGMQG7UIGWVCOCGVN,crawl-data/CC-MAIN-2019-04/segments/1547584350539.86/warc/CC-MAIN-20190123193004-20190123215004-00200.warc.gz,eng,86484,text/html,text/html,885794188,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,L5IKFH7MKEEFMILKHXZBISGMSEDMZLQN,crawl-data/CC-MAIN-2019-04/segments/1547584431529.98/warc/CC-MAIN-20190123234228-20190124020228-00200.warc.gz,eng,91776,text/html,text/html,883487947,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
5RPNQJNZ6LKTANIJVC6KEFLVMPGEKKHC,crawl-data/CC-MAIN-2019-09/segments/1550247479101.30/robotstxt/CC-MAIN-20190215183319-20190215205319-00583.warc.gz,90835,text/html,text/html,2402716,200,2.01902E+13,https://www.nytimes.com,"com,nytimes)/",,
UTF-8,5RPNQJNZ6LKTANIJVC6KEFLVMPGEKKHC,crawl-data/CC-MAIN-2019-09/segments/1550247479101.30/warc/CC-MAIN-20190215183319-20190215205319-00200.warc.gz,eng,90837,text/html,text/html,921368238,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,C3LN2EIOXPLZ7XDIDKEXH4WVLFNTKLAG,crawl-data/CC-MAIN-2019-09/segments/1550247479627.17/warc/CC-MAIN-20190215224408-20190216010408-00200.warc.gz,eng,87793,text/html,text/html,942174715,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,SZFGWCZYC3HS3UN5ICQXBEHI76Z2MGUE,crawl-data/CC-MAIN-2019-09/segments/1550247479729.27/warc/CC-MAIN-20190216004609-20190216030609-00200.warc.gz,eng,92808,text/html,text/html,939505512,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,OG57SJBGJSNK7SPNOJEFAFO2GBQKAA3A,crawl-data/CC-MAIN-2019-09/segments/1550247479838.37/warc/CC-MAIN-20190216024809-20190216050809-00200.warc.gz,eng,92984,text/html,text/html,941818603,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,HK35CXTPVWDFARTWQIFFCQ24W2VZ4KMI,crawl-data/CC-MAIN-2019-09/segments/1550247479967.16/warc/CC-MAIN-20190216065107-20190216091107-00200.warc.gz,eng,92383,text/html,text/html,902561014,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,6ZZN5RPOXQPEPCDDXNBBX5WEKPPTY473,crawl-data/CC-MAIN-2019-09/segments/1550247480240.25/warc/CC-MAIN-20190216085312-20190216111312-00200.warc.gz,eng,91781,text/html,text/html,928049061,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,XHXF4ZAVKPQBOXOBQOHMJ7NZXUUGUD26,crawl-data/CC-MAIN-2019-09/segments/1550247480472.38/warc/CC-MAIN-20190216125709-20190216151709-00200.warc.gz,eng,84951,text/html,text/html,913743793,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,SUDGKVZU7FH7D2GXTOBQXWFRN44R37DG,crawl-data/CC-MAIN-2019-09/segments/1550247480622.9/warc/CC-MAIN-20190216145907-20190216171907-00200.warc.gz,eng,83875,text/html,text/html,927958507,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,GZHIXV3FJXYSZCPZJ5TJW3W5RTIKZGKK,crawl-data/CC-MAIN-2019-09/segments/1550247480905.29/warc/CC-MAIN-20190216170210-20190216192210-00200.warc.gz,eng,76569,text/html,text/html,910894291,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,ZOLZBBFDM2K5QLKPLK4Q7MAWO2KETHNC,crawl-data/CC-MAIN-2019-09/segments/1550247481832.13/warc/CC-MAIN-20190217091542-20190217113542-00200.warc.gz,eng,76124,text/html,text/html,915974600,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,Y3BRCGPNDDGLBMXB3CPRGTWN4ZTCHKNK,crawl-data/CC-MAIN-2019-09/segments/1550247481992.39/warc/CC-MAIN-20190217111746-20190217133746-00200.warc.gz,eng,71902,text/html,text/html,908417562,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
UTF-8,VABOMBZPZD35HSGB6DXRQVBHLEQLBSSV,crawl-data/CC-MAIN-2019-09/segments/1550247481994.42/warc/CC-MAIN-20190217132048-20190217154048-00200.warc.gz,eng,79278,text/html,text/html,906647862,200,2.01902E+13,https://www.nytimes.com/,"com,nytimes)/"
